id,dealerId,vin,year,model,vehicleType,trim,isSold,doors,mileage,modelNumber,driveType,msrp,minPrice,maxPrice,refFee,engineName,engineBrand,engineId,fuelType,iceMaxHp,iceMaxTorque,transmission,colorName,colorHex,baseTowingCapacity,grossWeightCapacity,fuelTankeCapacity,notes,status
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,3GCUKPEC1JG435937,2018,Silverado 1500,Truck Crew Cab,,false,Gasoline,"82,661 Km",W5937,4X4,,,"39,998                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Gasoline,,,6 Speed Automatic,Black,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,WDDHF8HB4AA187105,2010,E-Class,Sedan,,false,Gasoline,"153,238 Km",W7105,AWD,,,"13,988                                                                                                                                                                                                                                                                                                                                                         
",,6 Cylinder,,,Gasoline,,,7 Speed Automatic,Brown,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,WAUMFBFR3AA077164,2010,A5,Coupe,,false,Gasoline,"109,352 Km",W7164,AWD,,,"13,988                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,JHMGD37637S814512,2007,Fit,Hatchback,,false,Gasoline,"167,614 Km",W4512,FWD,,,"5,988                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,5 Speed Manual,Silver,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,JN1BJ1CR7JW280197,2018,Qashqai,SUV,,false,Gasoline,"65,296 Km",W0197,AWD,,,"19,988                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,CVT,Orange,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,2T1BURHE9GC602400,2016,Corolla,Sedan,,false,Gasoline,"39,740 Km",W2400,FWD,,,"14,998                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,Automatic,Blue,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1C4AJWBG0EL313344,2014,Wrangler,SUV,,false,Gasoline,"141,195 Km",W3344,4WD,,,"31,998                                                                                                                                                                                                                                                                                                                                                         
",,6 Cylinder,,,Gasoline,,,Automatic,Black,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,5TBBV54147S470347,2007,Tundra,Truck Extended Cab,,false,Gasoline,"149,735 Km",B0347,4X4,,,"19,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Gasoline,,,6 Speed Automatic,Brown,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,2C4RDGBG4DR596207,2013,Grand Caravan,Van-Minivan,,false,Gasoline,"187,285 Km",B6207,FWD,,,"7,888                                                                                                                                                                                                                                                                                                                                                         
",,6 Cylinder,,,Gasoline,,,6 Speed Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,4S3GTAE68J3712653,2018,Impreza,Sedan,,false,Gasoline,"33,654 Km",W2653,AWD,,,"19,488                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,SAJXA0HB4CLS34387,2012,XF,Sedan,,false,Gasoline,"172,869 Km",W4387,RWD,,,"14,988                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Gasoline,,,Automatic,Green,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1FDUF5HT2BEC69940,2011,F-550,Truck,,false,Diesel,"414,902 Km",B9940,4X4,,,"19,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Diesel,,,5 Speed Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1FD0X5HT4CEB31815,2012,Super Duty F-550 DRW,Truck,,false,Diesel,"121,854 Km",B1815,4X4,,,"39,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Diesel,,,6 Speed Automatic,Red,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1FT8W3BT9HEC04806,2017,Super Duty F-350 SRW,Truck Crew Cab,,false,Diesel,"177,752 Km",B4806,4X4,,,"69,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Diesel,,,6 Speed Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,WA1JCCFS8JR002611,2018,Q3,SUV,,false,Gasoline,"69,560 Km",W2611,AWD,,,"26,988                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,-,Gray,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,2HKRM4H34CH101941,2012,CR-V,SUV,,false,Gasoline,"168,173 Km",B1941,AWD,,,"13,888                                                                                                                                                                                                                                                                                                                                                         
",,4 Cylinder,,,Gasoline,,,5 Speed Automatic,Burgundy,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1FT7W2BT3BEC08783,2011,Super Duty F-250,Truck Crew Cab,,false,Diesel,"355,250 Km",B8783,4X4,,,"22,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Diesel,,,6 Speed Automatic,White,,,,,,
1,978c71ce-e338-45ee-bd8d-e5eb9118017c,1FT8W3DT2CEA35492,2012,Super Duty F-350 DRW,Truck Crew Cab,,false,Diesel,"239,815 Km",B5492,4X4,,,"44,888                                                                                                                                                                                                                                                                                                                                                         
",,8 Cylinder,,,Diesel,,,6 Speed Automatic,Black,,,,,,
